"";"t_n";"x";"x_diff"
"197";2452;4,1;0,0800000000000001
"198";2454;4,01;-0,0899999999999999
"199";2455;3,84;-0,17
"200";2459;3,85;0,0100000000000002
"201";2460;3,85;0
"202";2462;3,82;-0,0300000000000002
"203";2463;3,92;0,1
"204";2465;3,67;-0,25
"205";2467;3,55;-0,12
"206";2469;3,34;-0,21
"207";2470;3,29;-0,0499999999999998
"208";2472;3,38;0,0899999999999999
"209";2474;3,21;-0,17
"210";2476;3,32;0,11
"211";2477;3,67;0,35
"212";2480;3,67;0
"213";2482;3,97;0,3
"214";2484;4,07;0,1
"215";2486;4,16;0,0899999999999999
"216";2488;4,16;0
"217";2490;4,03;-0,13
"218";2493;3,96;-0,0700000000000003
"219";2496;3,86;-0,1
"220";2499;3,92;0,0600000000000001
"221";2502;3,5;-0,42
"222";2508;3,41;-0,0899999999999999
"223";2511;3,56;0,15
"224";2514;3,69;0,13
"225";2517;3,88;0,19
"226";2522;4,03;0,15
"227";2523;4,14;0,109999999999999
"228";2524;4,12;-0,0199999999999996
"229";2525;4,09;-0,0300000000000002
"230";2526;4,09;0
"231";2528;4,09;0
"232";2529;4,06;-0,0300000000000002
"233";2530;4,05;-0,00999999999999979
"234";2531;3,85;-0,2
"235";2532;3,97;0,12
"236";2533;3,83;-0,14
"237";2534;3,97;0,14
"238";2536;3,71;-0,26
"239";2537;3,56;-0,15
"240";2538;3,53;-0,0300000000000002
"241";2539;3,49;-0,0399999999999996
"242";2540;3,41;-0,0800000000000001
"243";2542;3,16;-0,25
"244";2544;3,18;0,02
"245";2546;3,13;-0,0500000000000003
"246";2547;3,47;0,34
"247";2549;3,66;0,19
"248";2552;3,6;-0,0600000000000001
"249";2555;3,57;-0,0300000000000002
"250";2557;3,44;-0,13
"251";2563;3,45;0,0100000000000002
"252";2566;3,46;0,00999999999999979
"253";2569;3,44;-0,02
"254";2572;3,32;-0,12
"255";2574;3,39;0,0700000000000003
"256";2577;3,18;-0,21
"257";2580;3,22;0,04
"258";2583;3,27;0,0499999999999998
"259";2586;3,2;-0,0699999999999998
"260";2589;3,25;0,0499999999999998
"261";2592;3,33;0,0800000000000001
"262";2594;3,28;-0,0500000000000003
"263";2596;3,51;0,23
"264";2598;3,71;0,2
"265";2600;3,79;0,0800000000000001
"266";2603;3,73;-0,0600000000000001
"267";2605;4,04;0,31
"268";2607;4;-0,04
"269";2609;3,85;-0,15
"270";2611;3,91;0,0600000000000001
"271";2614;3,8;-0,11
"272";2616;3,91;0,11
"273";2618;3,69;-0,22
"274";2620;3,7;0,0100000000000002
"275";2622;3,55;-0,15
"276";2624;3,45;-0,0999999999999996
"277";2627;3,37;-0,0800000000000001
"278";2629;3,38;0,00999999999999979
"279";2631;3,41;0,0300000000000002
"280";2633;3,42;0,00999999999999979
"281";2635;3,28;-0,14
"282";2637;3,31;0,0300000000000002
"283";2640;3,35;0,04
"284";2642;3,56;0,21
"285";2644;3,52;-0,04
"286";2647;4,05;0,53
"287";2649;3,54;-0,51
"288";2651;3,77;0,23
"289";2654;3,76;-0,0100000000000002
"290";2656;3,79;0,0300000000000002
"291";2658;3,6;-0,19
"292";2660;3,52;-0,0800000000000001
"293";2663;3,47;-0,0499999999999998
