1945.333	2.68
1945.417	3.99
1945.5	0.98
1945.583	0.15
1945.667	-0.07
1945.75	1.63
1945.833	1.66
1945.917	3.62
1946	-2.62
1946.083	6.44
1946.167	8.7
1946.25	-4.13
1946.333	1.58
1946.417	-0.41
1946.5	-0.82
1946.583	1.05
1946.667	0.53
1946.75	-1.87
1946.833	0.86
1946.917	1.62
1947	-6.62
1947.083	-7.86
1947.167	-3.6
1947.25	-1.63
1947.333	2.78
1947.417	1.49
1947.5	-0.92
1947.583	-0.85
1947.667	-0.57
1947.75	-0.77
1947.833	-1.04
1947.917	-4.18
1948	-9.42
1948.083	3.44
1948.167	-0.6
1948.25	3.27
1948.333	2.08
1948.417	-1.91
1948.5	-2.12
1948.583	0.75
1948.667	-0.57
1948.75	-0.07
1948.833	-0.64
1948.917	-4.78
1949	2.38
1949.083	4.84
1949.167	7.3
1949.25	-0.43
1949.333	2.98
1949.417	-0.61
1949.5	-1.92
1949.583	-0.55
1949.667	-0.37
1949.75	-1.47
1949.833	0.86
1949.917	-0.58
1950	-9.22
1950.083	-1.66
1950.167	-4.3
1950.25	2.37
1950.333	-4.12
1950.417	0.09
1950.5	0.48
1950.583	1.25
1950.667	1.63
1950.75	1.23
1950.833	-1.14
1950.917	-7.18
1951	2.58
1951.083	-5.36
1951.167	-2.4
1951.25	1.87
1951.333	0.48
1951.417	2.09
1951.5	1.48
1951.583	0.65
1951.667	-2.77
1951.75	0.13
1951.833	-0.84
1951.917	2.42
1952	6.28
1952.083	5.94
1952.167	-6
1952.25	-2.83
1952.333	-2.32
1952.417	0.99
1952.5	0.98
1952.583	-0.95
1952.667	-0.17
1952.75	1.03
1952.833	-0.34
1952.917	-8.18
1953	0.68
1953.083	1.34
1953.167	-4.3
1953.25	4.87
1953.333	1.58
1953.417	1.59
1953.5	2.18
1953.583	1.95
1953.667	-1.17
1953.75	2.03
1953.833	0.76
1953.917	-5.98
1954	2.58
1954.083	-0.66
1954.167	-2.5
1954.25	-3.73
1954.333	-2.22
1954.417	-2.91
1954.5	0.68
1954.583	-2.15
1954.667	1.63
1954.75	0.83
1954.833	1.36
1954.917	0.22
1955	-8.22
1955.083	-3.56
1955.167	3.9
1955.25	-3.43
1955.333	-1.32
1955.417	1.09
1955.5	0.58
1955.583	-0.35
1955.667	2.03
1955.75	-1.17
1955.833	-1.24
1955.917	1.52
1956	2.18
1956.083	-3.96
1956.167	-5.3
1956.25	-2.23
1956.333	0.18
1956.417	1.79
1956.5	-2.02
1956.583	0.45
1956.667	0.93
1956.75	-0.77
1956.833	2.36
1956.917	-3.98
1957	-7.72
1957.083	-0.56
1957.167	-1.2
1957.25	-7.23
1957.333	-1.22
1957.417	-1.11
1957.5	1.48
1957.583	-1.35
1957.667	-0.77
1957.75	-1.07
1957.833	0.16
1957.917	0.22
1958	6.88
1958.083	-1.56
1958.167	1.9
1958.25	-6.23
1958.333	-2.72
1958.417	-0.21
1958.5	-3.32
1958.583	0.15
1958.667	0.83
1958.75	-0.97
1958.833	0.76
1958.917	4.62
1959	6.08
1959.083	1.14
1959.167	5.6
1959.25	5.37
1959.333	0.98
1959.417	-0.31
1959.5	0.88
1959.583	0.05
1959.667	0.73
1959.75	1.93
1959.833	0.56
1959.917	-7.38
1960	-3.82
1960.083	-0.06
1960.167	8.8
1960.25	-3.73
1960.333	0.38
1960.417	-0.81
1960.5	0.18
1960.583	-1.35
1960.667	-1.07
1960.75	0.03
1960.833	-1.84
1960.917	-1.78
1961	-1.12
1961.083	3.74
1961.167	7.2
1961.25	3.27
1961.333	2.88
1961.417	0.39
1961.5	-2.32
1961.583	-0.15
1961.667	-0.37
1961.75	0.33
1961.833	-4.04
1961.917	-2.38
1962	1.58
1962.083	-0.66
1962.167	5.7
1962.25	8.07
1962.333	0.98
1962.417	1.89
1962.5	-0.22
1962.583	0.75
1962.667	1.73
1962.75	0.63
1962.833	-0.64
1962.917	-3.48
1963	5.58
1963.083	-0.36
1963.167	5.9
1963.25	4.37
1963.333	-2.92
1963.417	-0.21
1963.5	-1.42
1963.583	-0.85
1963.667	0.63
1963.75	-2.07
1963.833	-0.54
1963.917	5.22
1964	5.18
1964.083	5.74
1964.167	-8.1
1964.25	1.27
1964.333	-3.22
1964.417	1.39
1964.5	0.58
1964.583	1.05
1964.667	1.53
1964.75	0.63
1964.833	-3.84
1964.917	4.02
1965	6.98
1965.083	5.14
1965.167	3.2
1965.25	3.17
1965.333	-0.92
1965.417	3.09
