"","mle_phi","mle_se","bte_phi","bte_se","phi","n"
"2105",-0.880976325853306,0.0336382058677503,-0.872942245319165,0.0341678155011983,-0.9,"100"
"2106",-0.913061830672697,0.0262501449302066,-0.906668167033891,0.0273635800795374,-0.9,"100"
"2107",-0.79228028279757,0.0461143603625717,-0.786513019071902,0.0475546618540428,-0.9,"100"
"2108",-0.914385152887305,0.0269619073424633,-0.905601391841989,0.0296293492335163,-0.9,"100"
"2109",-0.955230241060119,0.0182928786374565,-0.948772480404065,0.0208468008298932,-0.9,"100"
"2110",-0.857653897312561,0.0350171764665032,-0.84845105579183,0.0384860411386837,-0.9,"100"
"2111",-0.887546603177752,0.0309703060780908,-0.878239672810549,0.0338595400504249,-0.9,"100"
"2112",-0.86930822142519,0.0330314092559638,-0.862179239902653,0.0360465815389017,-0.9,"100"
"2113",-0.857935417079134,0.0342942590488741,-0.851352694272207,0.0366457227091949,-0.9,"100"
"2114",-0.890688762365069,0.0296513486242228,-0.883470857459213,0.0328053555267022,-0.9,"100"
"2115",-0.924269272414413,0.0236444903594529,-0.915378124214855,0.0290215433382008,-0.9,"100"
"2116",-0.920242680766496,0.0246631649479639,-0.912445868254537,0.0283645926311177,-0.9,"100"
"2117",-0.883613276447664,0.0310798361025089,-0.874485933722566,0.0345428564180808,-0.9,"100"
"2118",-0.916370907179929,0.0249697606735015,-0.907376550133699,0.0281349876026238,-0.9,"100"
"2119",-0.940280891827844,0.0233984324281938,-0.932079186477108,0.0237480221532436,-0.9,"100"
"2120",-0.92576975594227,0.0233690107589608,-0.91953276399735,0.0246601964888425,-0.9,"100"
"2121",-0.888543279455393,0.0300437207879817,-0.880343341629735,0.0333165122710164,-0.9,"100"
"2122",-0.878133518150949,0.0313810378038107,-0.871880792454038,0.035685859677414,-0.9,"100"
"2123",-0.871302138162493,0.0328864970012939,-0.86460820117412,0.0324717485026213,-0.9,"100"
"2124",-0.892699109323556,0.0291619436464018,-0.887402568997229,0.0310718302838361,-0.9,"100"
"2125",-0.927654331673998,0.0235050070272228,-0.92141047847549,0.0261956383476678,-0.9,"100"
"2126",-0.899526015200419,0.0285438563755192,-0.891064318630538,0.0324941394929947,-0.9,"100"
"2127",-0.93588970358403,0.0213724848546494,-0.927188648191186,0.0245668584565036,-0.9,"100"
"2128",-0.918284210122343,0.024759014030329,-0.910927723426916,0.0267911578643299,-0.9,"100"
"2129",-0.906220798877883,0.0273540669561134,-0.899059586455768,0.0301217542931836,-0.9,"100"
"2130",-0.910369729918241,0.0260833430202849,-0.905505564789909,0.026292083147772,-0.9,"100"
"2131",-0.943395230939895,0.0195737746316968,-0.937741540309343,0.0219511227845164,-0.9,"100"
"2132",-0.883858845685405,0.0299466576176169,-0.876263238805508,0.0344565379817912,-0.9,"100"
"2133",-0.863319199265039,0.0345796131257953,-0.855359836062655,0.0365750386070277,-0.9,"100"
"2134",-0.899449136868781,0.0285038950982437,-0.890821253151869,0.0317516113484962,-0.9,"100"
"2135",-0.864325949599966,0.0345718734827802,-0.857689995051235,0.0350688887988608,-0.9,"100"
"2136",-0.842347937978554,0.0387650778073303,-0.83299600215504,0.0411161656751484,-0.9,"100"
"2137",-0.914543545837856,0.0255900452024973,-0.903793029799014,0.030562555411842,-0.9,"100"
"2138",-0.867289727706447,0.0330141683017684,-0.858783658085136,0.0347326049425205,-0.9,"100"
"2139",-0.874782805528794,0.0325322289475249,-0.868327160710063,0.0346111547059348,-0.9,"100"
"2140",-0.856735506311452,0.035010022226499,-0.849944371162599,0.0387753931931028,-0.9,"100"
