"","phi","n","variable","value"
"124",-0.1,100,"phi_iar",-0.395239196572545
"125",-0.1,100,"phi_iar",-0.368248818740339
"126",-0.1,100,"phi_iar",0.519651352283242
"127",-0.1,100,"phi_iar",-0.187030552015764
"128",-0.1,100,"phi_iar",-0.17918124733071
"129",-0.1,100,"phi_iar",-0.0853335729052847
"130",-0.1,100,"phi_iar",-0.45365797496404
"131",-0.1,100,"phi_iar",-0.234654226579917
"132",-0.1,100,"phi_iar",0.252017414187915
"133",-0.1,100,"phi_iar",0.454522478116098
"134",-0.1,100,"phi_iar",-0.0171604466767208
"135",-0.1,100,"phi_iar",-0.106719159144705
"136",-0.1,100,"phi_iar",0.390588474937908
"137",-0.1,100,"phi_iar",-0.135500635348739
"138",-0.1,100,"phi_iar",-0.455558365776046
"139",-0.1,100,"phi_iar",-0.347054040879484
"140",-0.1,100,"phi_iar",0.0821532241862897
"141",-0.1,100,"phi_iar",-0.463058050441977
"142",-0.1,100,"phi_iar",0.104970016484138
"143",-0.1,100,"phi_iar",-0.38051595048297
"144",-0.1,100,"phi_iar",-0.221288718565423
"145",-0.1,100,"phi_iar",-0.119425477715013
"146",-0.1,100,"phi_iar",0.0507977500894242
"147",-0.1,100,"phi_iar",-0.206713870465293
"148",-0.1,100,"phi_iar",-0.226630090277585
"149",-0.1,100,"phi_iar",-0.219406689768933
"150",-0.1,100,"phi_iar",0.236025855346049
"151",-0.1,100,"phi_iar",-0.204132048791938
"152",-0.1,100,"phi_iar",0.232568050754653
"153",-0.1,100,"phi_iar",-0.36200723661955
"154",-0.1,100,"phi_iar",0.202789320541473
"155",-0.1,100,"phi_iar",0.290297985914955
"156",-0.1,100,"phi_iar",0.178779723128789
"157",-0.1,100,"phi_iar",-0.389444133171787
"158",-0.1,100,"phi_iar",-0.460803731717756
"159",-0.1,100,"phi_iar",0.136566197906841
"160",-0.1,100,"phi_iar",0.24481884429795
"161",-0.1,100,"phi_iar",0.381022893494659
"162",-0.1,100,"phi_iar",0.0316328033409401
"163",-0.1,100,"phi_iar",-0.0827946721248558
"164",-0.1,100,"phi_iar",0.462100451554177
"165",-0.1,100,"phi_iar",-0.228841014596367
"166",-0.1,100,"phi_iar",-0.201275225469187
"167",-0.1,100,"phi_iar",-0.30964710622395
"168",-0.1,100,"phi_iar",-0.258337396583182
"169",-0.1,100,"phi_iar",-0.0963992668009501
"170",-0.1,100,"phi_iar",-0.215822477829073
"171",-0.1,100,"phi_iar",0.189523185916703
"172",-0.1,100,"phi_iar",0.0689542203046247
"173",-0.1,100,"phi_iar",0.346888120344938
"174",-0.1,100,"phi_iar",-0.0593225842541414
"175",-0.1,100,"phi_iar",-0.127227856046515
"176",-0.1,100,"phi_iar",0.263065669481213
"177",-0.1,100,"phi_iar",0.0418602391432722
"178",-0.1,100,"phi_iar",-0.194233143858208
"179",-0.1,100,"phi_iar",0.110874409756187
"180",-0.1,100,"phi_iar",-0.548588979153045
"181",-0.1,100,"phi_iar",-0.068138799511365
"182",-0.1,100,"phi_iar",-0.0372905193639591
"183",-0.1,100,"phi_iar",-0.182821008007607
"184",-0.1,100,"phi_iar",-0.0820605664996052
"185",-0.1,100,"phi_iar",-0.127597261921236
"186",-0.1,100,"phi_iar",0.2798649936484
"187",-0.1,100,"phi_iar",0.0361952709418965
"188",-0.1,100,"phi_iar",-0.00106586418508287
"189",-0.1,100,"phi_iar",-0.0158468465817286
"190",-0.1,100,"phi_iar",0.303620329940906
"191",-0.1,100,"phi_iar",0.147773066900566
"192",-0.1,100,"phi_iar",-0.176770845408842
"193",-0.1,100,"phi_iar",-0.0833915051869719
"194",-0.1,100,"phi_iar",-0.495000455055087
"195",-0.1,100,"phi_iar",0.239441303464256
"196",-0.1,100,"phi_iar",-0.340339546324376
"197",-0.1,100,"phi_iar",-0.255668959845477
"198",-0.1,100,"phi_iar",0.374102263382519
"199",-0.1,100,"phi_iar",-0.414748574772844
"200",-0.1,100,"phi_iar",-0.137180983982411
"201",-0.1,100,"phi_iar",-0.000839192537899229
"202",-0.1,100,"phi_iar",0.501497915480475
"203",-0.1,100,"phi_iar",-0.141925932691348
"204",-0.1,100,"phi_iar",-0.0108009057244109
"205",-0.1,100,"phi_iar",0.385535494893248
"206",-0.1,100,"phi_iar",-0.365461893869546
"207",-0.1,100,"phi_iar",-0.443153038289541
"208",-0.1,100,"phi_iar",0.0361236366410968
"209",-0.1,100,"phi_iar",-0.00410396280250896
"210",-0.1,100,"phi_iar",-0.259386760516175
"211",-0.1,100,"phi_iar",-0.18371674646699
"212",-0.1,100,"phi_iar",-0.0864371580028842
"213",-0.1,100,"phi_iar",-0.0757633500454893
"214",-0.1,100,"phi_iar",0.0159230543142655
"215",-0.1,100,"phi_iar",-0.0260842236094687
"216",-0.1,100,"phi_iar",0.43994772261964
"217",-0.1,100,"phi_iar",-0.074322144034044
"218",-0.1,100,"phi_iar",0.184968678867938
"219",-0.1,100,"phi_iar",-0.131670039649123
"220",-0.1,100,"phi_iar",-0.0904130075860642
"221",-0.1,100,"phi_iar",0.0854942767360688
"222",-0.1,100,"phi_iar",0.236829142460679
"223",-0.1,100,"phi_iar",0.151660631739946
"224",-0.1,100,"phi_iar",0.144005564733672
"225",-0.1,100,"phi_iar",-0.369625636879087
"226",-0.1,100,"phi_iar",-0.265119226243995
"227",-0.1,100,"phi_iar",0.302597927092486
"228",-0.1,100,"phi_iar",-0.205009929464618
"229",-0.1,100,"phi_iar",-0.430526621319652
"230",-0.1,100,"phi_iar",-0.167994910135061
"231",-0.1,100,"phi_iar",0.102411663413885
"232",-0.1,100,"phi_iar",-0.152258435564531
"233",-0.1,100,"phi_iar",-0.125670507713183
"234",-0.1,100,"phi_iar",-0.131313112033386
"235",-0.1,100,"phi_iar",-0.132003685509293
"236",-0.1,100,"phi_iar",-0.432336681930767
"237",-0.1,100,"phi_iar",0.109433384972267
